S/N,DATE,DATA
1,2020-06-01,416
2,2020-06-02,241
3,2020-06-03,348
4,2020-06-04,350
5,2020-06-05,328
6,2020-06-06,389
7,2020-06-07,260
8,2020-06-08,315
9,2020-06-09,663
10,2020-06-10,409
11,2020-06-11,681
12,2020-06-12,627
13,2020-06-13,501
14,2020-06-14,403
15,2020-06-15,573
16,2020-06-16,490
17,2020-06-17,587
18,2020-06-18,745
19,2020-06-19,667
20,2020-06-20,661
21,2020-06-21,436
22,2020-06-22,675
23,2020-06-23,452
24,2020-06-24,649
25,2020-06-25,594
26,2020-06-26,684
27,2020-06-27,779
28,2020-06-28,490
29,2020-06-29,566
30,2020-06-30,561
31,2020-07-01,790
32,2020-07-02,626
33,2020-07-03,454
34,2020-07-04,603
35,2020-07-05,544
36,2020-07-06,575
37,2020-07-07,503
38,2020-07-08,460
39,2020-07-09,499
40,2020-07-10,575
41,2020-07-11,664
42,2020-07-12,571
43,2020-07-13,595
44,2020-07-14,463
45,2020-07-15,643
46,2020-07-16,595
47,2020-07-17,600
48,2020-07-18,653
49,2020-07-19,556
50,2020-07-20,562
51,2020-07-21,576
52,2020-07-22,543
53,2020-07-23,604
54,2020-07-24,591
55,2020-07-25,438
56,2020-07-26,555
57,2020-07-27,648
58,2020-07-28,624
59,2020-07-29,404
60,2020-07-30,481
61,2020-07-31,462
62,2020-08-01,386
63,2020-08-02,304
64,2020-08-03,288
65,2020-08-04,304
66,2020-08-05,457
67,2020-08-06,354
68,2020-08-07,443
69,2020-08-08,453
70,2020-08-09,437
71,2020-08-10,290
72,2020-08-11,423
73,2020-08-12,453
74,2020-08-13,373
75,2020-08-14,329
76,2020-08-15,325
77,2020-08-16,298
78,2020-08-17,417
79,2020-08-18,410
80,2020-08-19,593
81,2020-08-20,476
82,2020-08-21,340
83,2020-08-22,601
84,2020-08-23,322
85,2020-08-24,321
86,2020-08-25,252
87,2020-08-26,221
88,2020-08-27,296
89,2020-08-28,160
90,2020-08-29,250
91,2020-08-30,138
92,2020-08-31,143
